Hybridization REF	TCGA-AP-A05J-01A-11R-A00V-07
GIT2	-0.61775
CASK	1.16183333333333
C14orf161	0.349
LRRC44	0.28825
TIFA	-0.079875
UTP11L	-0.486125
C6orf65	-1.93775
FDPS	0.18175
DUSP9	-1.7304
SLC17A8	0.382
OR51G1	0.652833333333333
NANS	-0.794
OLFML1	1.23375
ATP10B	-0.956
NPAS3	5.18175
PRKCA	-2.7157
GGA2	-0.162375
LCE4A	0.6545
SPANXN3	0.24
CCDC115	0.63725
SDCCAG3	-2.245
GLIPR1L1	-0.394
TTC1	-0.009
C17orf76	2.08275
MAD2L2	-2.22725
HIPK1	-0.2204
LRRC3B	3.48366666666667
CLN3	-0.888954545454545
C17orf47	-0.225
FMN2	-3.445875
TUBB1	-0.847625
WAPAL	0.376166666666667
C3orf21	2.223125
SCN5A	0.7068
SMYD1	1.4355
BEX5	1.606
ZNF192	-0.2415
SEC22A	-1.11783333333333
GRIA2	3.64842857142857
KIAA0825	-1.693
NUSAP1	-0.356
LANCL1	-0.546625
C15orf40	-1.1122
ZNF645	0.74325
GPR61	0.77425
NLRP14	-0.0865
SNX21	-0.0385
C1QTNF8	0.1455
C17orf46	0.1055
IFNA8	0.2975
SPRR1B	0.583333333333333
FLRT1	2.04575
SNX17	-1.33883333333333
ASB2	1.56566666666667
HBG1	-6.576
RPRML	-3.236
JOSD2	-0.802333333333333
PLSCR3	1.091
SPOCD1	-1.65883333333333
RAB39	-0.567
GHRH	0.565333333333333
ITIH5L	-0.13
C17orf37	0.033
SMCR8	0.59475
DPY19L2P3	-0.0875
IL11RA	0.0471666666666667
GDF3	-4.91166666666667
RPS6KB1	-1.35866666666667
DNAJC19	-0.2017
TOP1	-0.372
CRCT1	0.294625
MPST	0.304125
DPM2	0.134625
FAM38B	-4.61
SLC18A1	-2.17333333333333
FARP1	-0.1735
PAX7	0.20375
TUBD1	-1.184
GNL3	-0.299625
BTG2	0.7598
NDUFS6	0.25775
C1orf79	-0.91875
ERAL1	1.25025
ECHS1	1.47825
VPS4A	-0.649333333333333
CYP11A1	1.156125
ABCC6	-1.97828571428571
PBX4	0.8915
MOSC1	0.87025
NCF4	-2.08175
HYMAI	-0.0045
NAGPA	-0.801625
OTOP2	0.6405
ACOT12	0.8215
MTHFD2L	-0.340125
LOC441376	-0.4945
C19orf34	1.0615
RAB1B	-0.4285
ALDOAP2	-0.795
NTRK1	-1.705
ARTS-1	0.4174
SLC6A11	-0.239
NAP1L2	-1.18725
CNGB1	0.231
EPB41L4B	1.2815
FAM134B	1.2235
HS3ST3A1	-1.38383333333333
CPXM2	5.56325
SIRPB2	0.687
CHORDC1	-1.2355
TRIB3	-2.86383333333333
SLC2A5	0.467
C2orf49	0.178333333333333
DDX5	-0.43225
OR5L1	0.716
ANAPC4	-0.255166666666667
ZSWIM1	1.6295
LOC93622	-0.635375
KCNK3	-0.1596
RP11-35N6.1	-1.55075
ZFP161	-0.1255
AQP9	1.447
SLC15A2	1.02583333333333
MREG	0.379166666666667
OR9I1	0.9305
PDLIM2	-0.678375
ADAM7	0.511
GSTCD	0.484
WDR21A	-1.804375
SLC12A8	0.0165
TMEM174	0.30225
IGSF3	1.33083333333333
LRRN1	1.961
LOC402117	0.07625
SRPK1	-1.452
LY6K	0.8065625
NFIA	3.264
PTCD3	-0.192625
LEP	0.920166666666666
PCDH21	-0.161666666666667
MAPKAPK2	1.33514285714286
NMNAT1	-0.760333333333333
LHFPL2	-0.68
C9orf43	0.94025
DIP2A	-0.457833333333333
ACTR8	0.452125
CCDC34	-0.164
PTPN22	-2.27157142857143
ITGA3	0.233875
FAM129C	-0.000750000000000001
RABGGTA	0.1325
UNC45B	0.55125
KIAA1033	-1.016125
ZNF510	0.246333333333333
CYP2D6	0.7005
SLC26A10	-1.518
STX8	-1.115
LUZP1	0.007375
WDR89	0.983333333333333
EIF4G3	-0.5798
C5AR1	0.0377142857142857
ZNF623	0.193
A2M	-0.471
TGM7	0.726
GRPEL1	-0.1195
LMNB2	0.0886
ROCK2	-0.158166666666667
SNX16	-0.369125
CCDC66	0.320666666666667
ANXA3	1.1635
KIAA1609	-0.494125
EED	-0.93875
RNF32	0.173166666666667
HES1	0.2616
CLC	0.4448
ISL1	-0.4846
KIAA0528	-0.344
MANEA	-2.55025
C1orf61	-2.588
hCG_2001000	0.785
RAPGEF6	-1.674
KIAA0020	-0.872833333333333
NEIL1	0.35275
C16orf45	-2.001125
RBM10	0.499333333333333
C10orf125	0.773875
MRS2L	-0.2295
DNAH17	-0.517428571428571
C19orf10	-1.61875
C1orf160	0.6145
SLFN12	0.811
EXOC3	-0.5325
HIST3H3	0.73325
NCOR2	0.00716666666666667
TNFRSF9	0.26025
MFSD8	0.183
ALX1	-4.46166666666667
NOL1	0.4725
PODN	0.6035
TIAL1	-0.78775
HIST1H1E	0.272
NPY6R	0.46175
TM4SF4	-1.059
CORO2A	-0.06975
ETNK2	-0.584333333333333
APOE	0.4363
ANGPT4	0.381
HDGF2	0.2815
G30	-0.641
ST8SIA4	-1.493625
F2RL1	1.42575
FAM19A4	0.85775
CCAR1	0.3435
B3GNT7	0.79725
OPHN1	0.1162
DSCR6	1.467
C21orf13	0.1605
GAS2L1	0.224833333333333
RFX3	1.218
COPS4	-1.450625
BCHE	-5.6995
BCL2	1.23375
HBZ	-4.16383333333333
ARL13B	0.894375
MAPBPIP	0.339625
MYO15B	0.417
SPZ1	0.31425
KIAA1324	-2.26255555555556
PLCL2	-1.718875
C4orf29	-1.7645
WDFY2	-0.417125
ZNF284	-0.066
NAALADL1	-0.401
DUSP5	-2.19
PXDN	0.20425
SLMO1	-0.5765
TNXB	0.7612
BIRC7	-0.496
A4GALT	1.8425
TIMM22	1.51325
FAM110C	3.3015
TOMM34	-0.395
ABHD9	0.2585
ADAM32	2.2195
CRHBP	-0.99825
AQP2	1.227875
LOC130355	1.08175
ZNF187	0.313833333333333
ZNF816A	0.5075
F7	0.910125
CNOT1	-1.5859
SLC13A4	-1.17225
ZBTB11	-1.2965
B3GALT5	0.657
EXOC2	-0.156833333333333
IRS1	-0.4929
TMEM1	0.101333333333333
MRPL34	0.183666666666667
SAMM50	-0.4995
CDC42EP3	0.391375
HSF2	-2.1489
MFN2	-0.70775
TSPAN7	2.35733333333333
NUCB1	1.22375
RHOH	-5.61475
ARL16	-0.004
TACR1	-0.40025
SFRS5	0.365833333333333
SNX25	-0.9795
RHBDF1	0.181333333333333
PCDH18	0.85
HMG1L1	2.32475
MYO5C	0.07
MAPK10	0.146
LDHAL6A	-0.316
NUDT12	-1.08483333333333
NCAM1	0.614
GLIS2	0.9345
GGTL4	0.28075
DAPP1	-2.337
ATF7	1.0125
KIAA0748	-1.4895
NFIL3	-0.07125
TM6SF1	-0.8109
SEZ6	0.515625
NANOS3	2.43766666666667
DNAJA3	-0.6795
CLDN6	2.9685
CIITA	2.4755
EPHA4	2.32616666666667
FANCC	1.138
CMTM3	-0.4955
PSG3	0.2595
MRPL15	0.93
C21orf59	0.525
PLCXD2	0.17275
C2orf34	0.664875
UBE2L6	0.753
MED14	-0.513
HP1BP3	-0.7484
C6orf208	-0.6375
TPBG	-1.6445
OSR2	2.453625
XPC	1.108
KLHL7	-1.34325
CCR3	0.502333333333333
AGTPBP1	-0.9805
PCSK6	-2.47692857142857
STAT5A	-1.6025
FAM18B	-1.61025
LONRF2	0.442666666666667
PTPN2	0.19
SF3A3	-0.518
EFCBP2	0.83225
HCFC1	-0.548666666666667
AHNAK	0.0131
ACTR5	0.3815
KIF14	-1.04971428571429
TENC1	0.2745
HEATR5B	-0.714
YIPF2	1.1825
MYEOV2	0.635
DUSP18	2.1875
KIAA1012	-0.39425
AHR	-1.82583333333333
C17orf53	0.0135
PTPRH	-4.74375
ATP6V1C1	-0.9168
TAS2R3	0.37
LOC440356	-0.22625
COQ10B	-0.70875
PSMF1	0.114916666666667
SORBS2	0.893166666666667
NFE2L2	-0.73775
TMCO7	-2.42125
SH3PXD2A	0.5281
SH2D2A	-1.29625
SPINK5	-1.99875
MRPS24	-0.11525
OPA3	0.79875
TRAF7	0.473666666666667
C4orf35	1.38783333333333
MT1G	-1.63425
MGC39545	0.83975
HS1BP3	0.501111111111111
OR2B2	0.1325
CHRM4	0.7
SFRP2	-0.83575
RIC3	1.4985
ART1	-0.029
C6orf1	0.226
DUS4L	-1.5495
C10orf104	-0.0665
TNFAIP6	-1.8265
RTEL1	0.09525
CCT4	-1.9071
ZNF709	-0.19375
CHMP6	0.891166666666667
UPP2	0.14275
CYP19A1	-2.347
CD151	0.518
NDUFA13	1.06666666666667
ARFRP1	-0.44
FAM26B	-1.244
CRYBA1	-0.409
MRPL41	0.781666666666667
NPFFR2	-1.05125
HRH2	0.6285
SCAMP3	-0.274333333333333
MTMR6	-1.0447
MTG1	-0.280833333333333
UBTD1	2.371
CRABP1	-0.5985
FLJ33790	-0.7238
KIAA1908	-2.46783333333333
GPR158	1.01575
PACSIN3	0.821333333333333
OMD	-1.058
CATSPER1	-1.25483333333333
HOXB8	3.219375
FBXO46	1.449
OAS1	2.00333333333333
SVIL	0.7235
PHB2	-0.237
ADCY3	-0.4495
NDRG2	1.56283333333333
ERMAP	0.7137
APBA2	0.5525
IGSF9	3.04675
WNT6	1.15957142857143
MYCBPAP	-0.5575
ATP2B2	1.973
CPVL	-0.7183
TRAM2	0.298916666666667
NOP5/NOP58	0.73275
ZNRF4	0.26075
TLK1	0.263625
MTMR12	0.24
ZNF384	0.0558333333333333
FAM9B	-3.193
RPN1	0.9198
PMVK	0.53675
EIF3D	-0.7357
SIX2	0.25875
HPS1	0.990785714285714
RNF7	-0.00950000000000001
PSKH2	0.682
KCTD13	-0.190666666666667
CSMD3	-0.356333333333333
FBF1	-0.556
IL8	-6.498125
SERPINB13	0.0933
FBXL20	0.3545
BLR1	0.52575
SH2B1	0.278833333333333
RFNG	0.106875
RAB20	1.1215
RBM7	-2.39525
POLR1A	-0.1275
TMPRSS4	4.7525
TAF9	-1.167125
TERF2	-0.911166666666667
TNFRSF1A	0.0106666666666666
ACADVL	0.2025
GTF2H5	-0.45875
EDG8	-0.702666666666667
C9orf140	1.2835
UST6	0.96125
ZBTB8OS	0.139
ZNF710	0.555
GPR174	-3.099
ATP6V0A2	0.5625
KIAA0319L	0.201916666666667
XKRX	0.8135
DOPEY2	0.143
SDHD	-0.75575
SUMF1	1.722
OSM	0.92075
OPN3	-0.51725
DAGLB	-0.4975
PPFIBP1	1.8793
TRIM63	-4.83
C10orf53	-0.344
LYPD3	-1.46283333333333
BCL7A	1.410125
AGER	-0.774166666666667
TCF19	0.055875
SAT2	-0.53075
PFTK1	1.82316666666667
GABRE	0.11225
C15orf38	1.1956
FIS1	-0.4595
KCNV2	0.302
CLPS	0.308
PPCDC	-0.288
FOXN2	0.355166666666667
NT5E	-4.8211
CD83	-0.139
IL18	-0.915375
VPS16	0.25125
IGFBP2	1.88766666666667
NOTCH2	-0.283
SIGLEC1	1.65116666666667
CD93	2.5535
SULF2	-1.31775
CEP164	0.51775
P53AIP1	0.499
TOR2A	0.061
ZNF136	0.43525
MGP	-0.6791
CCDC144A	-0.790666666666667
TRPC1	-1.84616666666667
SMS	-1.26883333333333
MAPK7	-0.341833333333333
RRAGC	-0.7655
PARD6A	-0.143
NUB1	-0.4815
SYNGR4	0.20325
OR11H12	-0.535
WIF1	1.73814285714286
GCH1	-0.939
OR11H4	0.0475
SLC44A5	0.388
GPRIN2	0.816333333333333
LOC401431	1.14275
CPA4	-3.4366
MELK	-0.217666666666667
IL15RA	-1.33625
CUL3	-0.0695
HMBOX1	-2.8525
PODXL	-0.02625
CCT6B	0.4375
COMTD1	0.16675
MUC20	4.76383333333333
GPX2	-4.546625
ITK	-3.1565
FBXL5	-0.16475
C13orf27	-1.45625
DEFA5	0.3545
TRHDE	1.114
MTP18	0.302666666666667
UQCRQ	0.5793
ITGB2	-0.0856666666666667
CSRP2BP	0.63
TAS2R44	0.9065
PHPT1	-0.745375
FAM44C	-0.459
ERH	1.209
MPHOSPH1	0.206333333333333
MORC1	-0.65
PARVB	-2.994
LAMA1	0.112583333333333
PGBD3	0.0455
GIMAP6	2.52975
AREG	-6.55383333333333
LIPT1	-0.7345
MGC99813	0.33
C1orf201	0.052
GRIN2A	-1.136125
MAN2C1	-0.35
NSUN5	0.0055
SF3B5	-0.73125
MYC	-3.141
NRXN1	-0.510363636363636
ZNF18	1.02525
SPDYA	-0.01575
SLC37A1	1.0175
DECR2	0.4185
ANKRD38	3.402125
SPTLC3	-0.236
SUPT16H	0.2095
DTWD2	0.8295
ULBP1	-0.214
ZADH1	-0.675833333333333
OIP5	-0.34925
IL10RB	-0.0636666666666666
OTUB2	-0.633125
VWA3A	-0.035
SPIC	-0.162833333333333
OR6C4	0.327
PSCD4	0.0113333333333333
DPY19L2P2	1.2295
TRAPPC6A	0.1275
C21orf2	-0.3775
CEMP1	-0.539
LIN7B	-0.747
E2F7	-0.763
VCP	-0.1730625
LAMA3	2.05925
BGN	-0.2585
GPR160	-2.82133333333333
COCH	-4.555
GPR81	-0.2945
APOBEC3F	-1.77675
tcag7.1017	-0.17075
C1orf32	0.766
SCGB1D2	3.9125
FLJ43987	-0.516
C6orf170	-0.53075
KLK9	0.66
GPD1L	0.176875
VPS37B	1.80325
ATG3	-1.56883333333333
ADAMTS17	0.655
KLHDC2	-1.16433333333333
NDUFV2	-0.1715
BLK	-3.81775
MATN4	0.1465
GPM6A	-0.915714285714286
GBP4	3.80383333333333
TMEM162	0.991333333333333
PKP2	1.0985
HRASLS	1.23055555555556
MMP1	-5.86425
SFXN3	-0.8573
FSD1	-1.0125
ST6GALNAC3	-0.8205
CA12	0.1532
NCOA6	1.03775
C19orf58	0.3382
PPP4R1	-0.00599999999999998
MAN1A2	1.77883333333333
IKBKAP	-1.733
UPF1	0.513166666666667
KIAA1219	0.496
WNT16	-0.189666666666667
SNW1	-1.0645
IL18RAP	1.6915
RPP30	0.6045
CDC40	-1.03735714285714
SETD3	0.2375
SLAMF6	-0.7575
ELK4	0.3375
TRIM47	-0.312833333333333
ACOX3	0.171125
TRIM6	-0.33725
KIAA0372	-1.1655
TP53AP1	-0.0825
SMURF2	-0.605
ADAD1	0.3125
EBP	0.3139
KRTAP13-2	0.249
FLJ36874	-0.5695
TOR1A	-0.617333333333333
P2RY4	1.0425
GPBP1	0.00475
TRPV1	0.793375
ADAMTS12	-0.141666666666667
PES1	0.1201
ATG4A	-0.376333333333333
MAGEA10	-5.26675
WFS1	0.82975
CC2D1B	0.682833333333333
PABPN1	0.87275
SLC25A30	0.2155
SLCO1C1	0.927166666666667
SLC22A5	1.25525
KIF23	-0.374666666666667
SYN2	3.61266666666667
ASPN	1.27883333333333
CENTG2	0.8135
QSOX2	-0.6373
FLJ10815	0.663
STK24	0.563625
SPEG	1.6411
STK10	-1.55
DACT2	4.796
AAAS	0.36375
SSX3	-1.00975
ABCD3	-1.3386
C4orf12	-0.292875
PARVG	-0.242833333333333
FIG4	-0.66425
C9orf46	-0.27825
TMCO6	0.3355
IGHMBP2	-0.1105
DUS2L	-1.91816666666667
FAM3C	-1.4495625
TMEM16D	-2.896
DCTN4	0.11775
KCNH3	4.485
EIF2AK2	1.9775
AP1S3	-0.73575
CST4	-1.853
PAM	1.9335625
NUTF2	-0.2535
CITED2	-2.304
SLC39A4	0.4805
C2orf52	0.135
GRM3	0.7345
C12orf49	-0.155125
CCDC49	-1.1708
GRAMD1B	-1.15685714285714
FNDC4	-0.1375
SIAH2	-1.501375
GDPD4	0.12825
C21orf87	0.913875
ATP5A1	0.0688333333333333
C16orf63	-0.875
LOC388135	-0.274666666666667
ATP5J2	0.87
MMP3	-5.4
EMID2	1.633
CRHR1	0.263
WDR70	-0.0615
C13orf31	1.564
ZFAND1	-1.70675
CCL18	2.07066666666667
C3orf49	-0.6415
RINT1	-1.1745
KIAA0408	-3.1572
F13A1	2.896
SLC10A1	0.1274
OGN	-3.0915
GIPC2	-1.06283333333333
XPO6	-0.267166666666667
LCE1A	0.1365
FMR1	1.4445
LOC374920	-0.13825
DUSP3	-1.144875
ANKMY1	0.4325
C7orf50	0.29125
BBS9	-0.6321
UNC119B	0.522875
C9orf72	0.182625
MGC35440	0.37275
ENTPD6	0.1965
PPP1R2P9	0.832
ERCC4	0.28525
FAHD2B	-0.36
HMHA1	-2.4855
HACL1	-1.8045
RAD23A	0.1785
FAM83B	0.5895
PPP5C	0.0441666666666667
RNASEH2C	0.9185
C9orf153	-0.361
SCAMP4	0.664125
GHITM	0.6172
NDUFB7	0.921375
ADCYAP1	0.6936
SP110	0.735666666666667
MAP3K7IP2	-0.83625
DHH	0.2695
AGRN	1.51207142857143
WDR33	0.1435
CEP290	0.7665
PRPS1L1	-1.95833333333333
KLRA1	-0.5835
GPR97	0.267
CHD7	0.774
TLR10	0.09325
SLC30A8	-0.6535
HIC1	0.0596666666666667
IAPP	0.016
RXFP4	0.9265
GP1BB	1.22075
SHQ1	0.7765
NKX2-3	0.722666666666667
API5	-0.63475
FTHP1	-0.061
MOV10L1	0.595666666666667
TRIM6-TRIM34	1.25166666666667
ADHFE1	0.14325
FAM117A	0.67775
DDI1	-0.590166666666667
CDON	0.427833333333333
TRIM73	-2.255
IGKC	0.415
MMP14	0.39075
DYNC1LI1	-0.474125
C11orf66	0.02175
TRBV3-1	-1.95275
FASTKD5	0.21875
BIVM	-1.591
LHX4	-0.5345
CXCL2	-1.6456
RAB2B	-1.133
IZUMO1	0.7685
MAP3K15	-1.12175
FAM19A2	1.712
ZC3H8	-0.311666666666667
ZMAT1	1.33075
SPINK5L3	-1.80033333333333
SLC10A6	0.877
APPL2	-0.33425
CARD10	0.232166666666667
LOC402176	-0.69175
EEF1D	0.7797
RAB6A	0.4731
C12orf5	-0.668125
PAPOLG	1.1465
MSRB2	0.55775
BCR	1.80761111111111
PUS3	0.261
TIAM2	1.2645
ZNF317	0.0623333333333333
CHD2	0.7185
FZD5	1.96331818181818
NUDT8	0.7505
ZNF763	-0.4375
PRC1	-0.595888888888889
ABCB9	0.784
SPATA3	1.0295
TRAK2	0.036875
STAB1	2.88875
LRRTM2	-0.0855
psiTPTE22	1.1145
DBI	-0.24825
SERPINA11	-3.68275
NAT5	-0.391
C20orf58	1.616
RPS6KA4	0.902833333333333
FLJ90650	-0.968666666666667
TGFBRAP1	0.25975
CHRDL2	-0.66425
FAHD2A	-0.158333333333333
CNTN1	0.412
BBS4	-0.7645
TMEM181	-1.54775
MINPP1	-1.13675
MPHOSPH6	-1.7425
HOXC10	-2.123
ITPKB	0.434571428571428
CLPTM1L	0.071625
MEOX2	-1.0646
ATP6V0C	0.4265
PRPF8	0.0331666666666667
TMC5	-0.03025
FKBP3	-0.4725
PLEKHB2	-0.206375
OR4D6	0.9135
ZNF544	0.1108
D2HGDH	0.12525
RPL18A	0.518
HEL308	-0.709875
MPP6	-3.663
TCERG1	-0.8465
KRT16	-2.02366666666667
KLF17	-1.0245
KLF5	2.21
CDR1	-0.157714285714286
VCX3A	0.2915
FBLN2	2.748125
C14orf104	0.144
HBE1	-5.638
OR4S2	0.798
C1orf108	-0.177166666666667
ROBO4	3.04116666666667
CPEB4	-1.227625
C11orf80	-0.255166666666667
BCKDHA	0.418833333333333
MYOC	1.51725
GIF	0.5675
CKMT1A	3.1825
RPL3	0.2505
THBS1	-0.57875
APOO	-0.20225
ARMCX1	0.28425
HSZFP36	-0.389
SNAPC5	0.14375
EIF4ENIF1	1.07
ZNF433	0.43475
TNFRSF21	1.00025
TMPRSS7	0.017
SPATA18	1.0424
HPDL	-0.3475
MKL2	0.4597
TBX3	-1.99515384615385
C21orf93	0.523833333333333
DAXX	0.76125
ELMO1	-0.36275
RGS13	1.01666666666667
TAF11	-0.7815
UNC13A	-2.381875
LOC653314	-0.3067
ORC3L	-1.2815
IMAA	-3.024
TARBP2	0.84475
CABIN1	1.1942
TRIOBP	0.9075625
HIST1H2AC	-0.086875
RGS22	-3.83816666666667
NCOA1	1.2055
IL25	1.5295
SNCG	2.758
GPR6	0.971
AMDHD1	-3.38633333333333
CHEK2	0.21875
C6orf142	-0.83175
DRD4	0.5485
C14orf68	-1.21025
GDF11	1.723
SEMG2	-0.2615
CD247	-3.31575
CDAN1	1.16925
RBMX2	0.153333333333333
TGS1	-1.01
OIT3	0.319333333333333
SYF2	-0.592
MCM4	-0.740125
PKHD1L1	2.7655
CEP192	-0.815833333333333
IFT88	0.2585
RPL9	-0.403857142857143
RAB32	-1.69175
DDX43	-4.96475
P2RX2	0.626833333333333
OR5D18	1.9835
UBE1	0.66675
SLC24A1	0.6455
ARHGAP5	-0.16
CETP	0.60475
KIAA1731	0.240166666666667
SLC9A4	0.593
PTPN6	0.90975
BAHD1	0.20375
GRIK3	0.928
CACNB2	-1.9285
PDE10A	-1.585
DGCR14	0.929
PCDHB9	0.2615
RHOQ	1.07983333333333
MAP3K4	-0.403
KTI12	0.142166666666667
RPL23AP13	-2.5565
GNG11	-1.1645
CLCN3	0.986166666666667
GPAM	-0.491142857142857
VSTM2A	2.2265
SLAMF7	0.201
INTS2	-1.39875
PPP2CA	-0.532
LRP12	0.190466666666667
SEC14L2	0.902444444444444
DKFZP586H2123	3.455
MC3R	0.128
CIRH1A	-1.88233333333333
HIST1H2AB	0.0025
POLH	-0.531
MGC16703	-2.55783333333333
SNAPC2	-0.9855
FILIP1L	-0.61875
RASGRP4	0.606
LRRC1	1.50475
GAS1	1.97
PRAC	-0.0997499999999999
DGKA	-0.915333333333333
NT5C3	-1.41475
PEG3	-3.76225
NADK	-0.76825
PRR17	-0.194
LOC374569	2.5885
SGSH	0.507
NLRP8	1.2245
GALT	0.4659
MCF2	-0.537
ZNF263	0.02225
TACSTD1	1.4655
TYR	-7.0594
ATP6AP2	-0.24175
RNUXA	0.055
ABHD10	-0.374
GDPD2	0.138
SLC35C1	0.9855
UBE2A	0.92225
HERC5	0.700833333333333
FAM112B	-6.02633333333333
FBXL16	0.431
DKFZP434A0131	0.95325
ELA3A	-2.546
RBM41	-0.727
HAO2	-0.025
RNH1	0.17
SHANK2	0.335
OSBP2	1.32875
DAK	-0.4945
C3orf58	0.41125
TCL1B	-1.925
KBTBD2	-0.59525
SUGT1L1	0.5075
UBE2E2	0.643
MYL9	2.876625
CDC23	-0.706333333333333
PBXIP1	1.476
CXorf40B	-0.1335
NBL1	0.0885
RTBDN	0.274
RAB11FIP5	-0.505125
TTTY13	-0.657
SCOTIN	-0.13075
SOHLH1	-0.133833333333333
CDKN1A	-1.48671428571429
NCK1	-0.34675
ZNF550	-0.045
SAPS3	0.670916666666667
SPIN3	1.03266666666667
MAGEE2	-0.18475
MIS12	-1.76416666666667
OR8H2	-0.066
KIAA0774	-1.76283333333333
UNC5D	-0.3815
CUL7	0.149666666666667
LIPC	-3.57816666666667
DIO1	-3.42175
C20orf11	-0.2372
CTRL	-0.991
HS3ST2	-0.1085
PAK4	1.2675
CCRL1	-0.20875
RNF10	0.93
ZNF567	0.20725
ZNF660	1.9155
TCEAL3	0.3845
MAGOH	0.9735
CENPB	0.136
C19orf7	0.526375
LOC388965	0.95675
ZCCHC13	0.1835
JMJD1A	-0.0861
HIST1H4H	-0.3145
TBRG1	-0.3364
GPC3	-5.012
TAF1C	-0.646875
EBNA1BP2	-0.472666666666667
CIAPIN1	-0.072
PDGFRA	-2.6
CSTB	0.94225
CENPI	-1.07733333333333
GTF2E2	-1.4915
RPP21	1.21125
CCNF	0.3805
KCNQ3	0.8075
FAM79A	-0.5165
SLC22A12	0.294
NOVA1	0.224833333333333
FZD3	0.4289
AKAP8	-0.04675
SOCS5	-0.543875
CFDP1	-1.09875
DLG5	0.934
PGM5	0.0463333333333333
C1orf144	0.258166666666667
HDAC10	-1.657
RND2	1.1815
C20orf199	-0.99825
RNMT	-0.755125
SLURP1	0.407875
ASTN1	1.101125
SH3BGR	0.29575
MYCL1	1.783875
ZHX1	-1.2125
CENPK	-1.41575
FOSB	0.1059
LOC643406	0.21925
C2orf59	-1.709375
TMEM135	-1.411625
SLC27A2	-4.11125
KRT33A	-0.0795
OVOL1	2.133125
PAMCI	0.395166666666667
S100A7	-0.4965
ZNF789	-0.5255
HARS2	0.1305
RPL23A	0.0125
TCF23	1.1525
UPF3B	1.195375
C17orf78	0.092
HLA-DOB	-0.485
C14orf142	-0.695166666666667
TEKT5	0.531166666666667
DMWD	0.5845
POLD1	-0.478
GSCL	-0.313
CALD1	-0.8436
SCRT1	0.846666666666667
AIG1	0.231
UNC84B	-0.67325
ZNF404	-1.57125
TMED6	-3.8435
KIAA1462	0.3495
LRRC27	1.87766666666667
PYGO1	0.407
PIGU	-1.32733333333333
ALAS2	-4.94333333333333
WRNIP1	0.86375
CNNM3	1.1295
ZNF2	0.2705
ST3GAL5	-0.444833333333333
MRPL23	2.49825
TSSK6	0.2525
PSMA6	-0.70875
C16orf70	-0.82
KIAA1602	0.58575
ALMS1	1.10766666666667
DCN	-1.13525
TMEM132D	-0.538
SUCLG2	-0.57875
ABHD14A	1.80175
DEXI	1.19733333333333
AMPD2	-1.0745
IFNAR2	0.831166666666667
CYB5A	-0.198
TLOC1	-0.81125
NXF5	0.959833333333333
NRBF2	-0.925125
KCTD3	-0.71375
ITGAE	-0.316333333333333
SLC30A3	-2.02233333333333
ZRF1	-0.6225
IFRD2	-0.0715
XAB1	0.033
PYCR2	-0.543666666666667
SERPINB3	-3.1735
TMLHE	1.6382
GEFT	-1.06825
ABCA5	-0.846375
EMR4	1.8058
TSFM	0.088
HIST3H2BB	-0.03825
ARHGEF19	1.33975
TSPAN17	0.678333333333333
ABCC8	-1.54275
MAP1S	1.23083333333333
C22orf36	1.91125
BNC2	-2.08021428571429
HIST1H4A	-0.3365
NDUFS3	0.7705
WDR3	-0.6425
XKR4	1.4765
TTC33	-0.692785714285714
STMN2	3.07525
CPN2	-0.384
HSPC105	0.65775
PCOLCE2	-3.0315
C3orf55	-1.3945
KLHDC9	2.61883333333333
TBC1D23	-0.509125
ATXN2L	-0.437916666666667
MAP2K3	0.511166666666667
SCAP	1.0535
ZNF486	-0.207
C20orf96	2.49375
NARS	0.0045
ADAMTSL1	-0.9325
PRCC	0.894333333333333
CCDC126	-0.298916666666667
ZNF675	-0.258
CALCOCO1	0.19925
ANKRD43	0.72475
CWF19L2	-0.262166666666667
ZBTB32	0.202333333333333
BRAF	0.89525
ODF4	0.64575
MGC14376	-0.693666666666667
HORMAD1	-1.8072
AAK1	0.368833333333333
PEBP1	1.83108333333333
TNFSF5IP1	-0.118666666666667
DKFZp564N2472	0.39675
RMND1	-1.056875
IGKV1-5	0.011
COL1A2	0.638916666666667
SERPINA5	-3.3365
AANAT	0.558
C19orf21	1.78983333333333
GEMIN5	0.75625
UBR4	-0.639
LTBP3	2.3015
AMHR2	-2.56283333333333
PROCR	-3.30675
MYBBP1A	-0.197
C20orf39	1.5905
ZNF697	-0.0245
PASK	0.88
ZNF776	0.901
RFXDC2	-0.1155
KIAA0467	0.77775
C10orf96	-1.6755
ZNF503	2.204
GULP1	-1.80183333333333
KCNE4	-2.01733333333333
DKFZp434K191	-0.049125
LOC196913	-0.343
BHLHB4	1.244
CH25H	-0.768
LOC81691	-1.13833333333333
ALPL	2.82692857142857
COL12A1	2.651875
FOLR3	0.232333333333333
GPR123	-0.015125
TRIM62	0.729357142857143
ABLIM1	1.235
MAST3	-0.17775
RHBDD1	0.3405
LOC338809	-1.081
RYBP	1.1505
TTC26	-0.327875
ZNF22	1.29383333333333
ISCA2	-1.2545
RDM1	-1.91325
PIGM	0.40625
GNB3	-1.1985
ACTR2	0.6234
HMGB1	1.675
EDG1	0.2215
SOAT2	-4.232
OR10AD1	-0.35
RAP1GDS1	-0.558666666666667
LCE1F	0.454
ESM1	0.038
